Price,Close,High,Low,Open,Volume,20_SMA,50_SMA
Ticker,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,,
Date,,,,,,,
2018-11-21,1171.1732177734375,1179.4342828682654,1164.3554152056188,1164.4549212254537,1432572,,
2018-11-22,1165.101806640625,1176.448286495046,1162.1158972840385,1165.4999521875625,1257089,,
2018-11-26,1165.0521240234375,1174.4576899757287,1147.634319299221,1167.6398878544996,2456379,,
2018-11-27,1168.0379638671875,1173.4125032359802,1157.636973910043,1157.636973910043,1737759,,
2018-11-28,1154.80029296875,1182.1213114175835,1152.1627157485527,1166.6444228370497,1950956,,
2018-11-29,1207.2529296875,1214.170359607067,1151.5657660062118,1160.0258429388418,6607241,,
2018-11-30,1228.154296875,1232.5834688755424,1192.0745569962166,1203.3215314054937,3005495,,
2018-12-03,1220.3411865234375,1238.1571374794894,1212.6774007503664,1234.1759248187836,1817913,,
2018-12-04,1219.5450439453125,1230.493379005144,1204.3168565814854,1221.2370107648617,1565130,,
2018-12-05,1205.8096923828125,1222.6303388871318,1197.3496161258963,1215.8125370265382,2856527,,
2018-12-06,1174.70654296875,1199.3402959350508,1165.6493086017458,1199.3402959350508,3097300,,
2018-12-07,1273.6395263671875,1339.6280433077195,1170.625664401793,1175.4528597210713,33807619,,
2018-12-10,1192.721435546875,1283.8414821837325,1182.4200728479702,1238.2565519886214,18948035,,
2018-12-11,1212.9759521484375,1233.1806555557669,1165.500038463118,1183.4154959288192,10078591,,
2018-12-12,1231.33935546875,1255.077312051536,1218.4501063682937,1223.6257558110185,6563999,,
2018-12-13,1258.4613037109375,1265.8265711830966,1222.8294030060672,1234.1758830040458,4227732,,
2018-12-14,1250.0509033203125,1265.726927439685,1241.2424950192958,1258.4612875714233,2671529,,
2018-12-17,1216.7083740234375,1260.053877900724,1201.380801616222,1254.0820585741803,7385641,,
2018-12-18,1231.28955078125,1233.8276225119241,1208.298071415328,1209.1938685847995,3678466,,
