Company,Date,Close,High,Low,Open,Volume,20_SMA,50_SMA
ITC,2018-11-21,215.2733612060547,217.60372899249592,213.9362595836568,217.37452089839417,5650063,,
ITC,2018-11-22,214.3182830810547,217.37451528185403,213.63063549931508,215.4643701563544,6680354,,
ITC,2018-11-26,218.25315856933597,218.78800848526848,214.47108553706755,214.89130810158653,8948042,,
ITC,2018-11-27,217.6419219970703,218.86441943823112,216.0755891352958,218.5969944796648,6881741,,
ITC,2018-11-28,215.61720275878903,220.01053678513023,214.54750277687444,218.06217466138787,8856761,,
ITC,2018-11-29,219.7049102783203,221.04201203213395,216.5722905374346,216.72508817611936,13657479,,
ITC,2018-11-30,218.36778259277344,221.5768357477245,217.6037245384709,221.1948067205732,8639876,,
ITC,2018-12-03,216.1902313232422,221.19480214860133,215.88458945407757,219.4756715619542,8565591,,
ITC,2018-12-04,215.3497467041016,216.457616786725,214.66209918433543,214.7002927565228,6305882,,
ITC,2018-12-05,210.38340759277344,215.3115684667848,209.5047454199376,214.7003312988651,11453283,,
ITC,2018-12-06,208.6260528564453,210.03956499118837,207.4417721398026,209.7339464175905,9682118,,
ITC,2018-12-07,209.3900909423828,211.03283433826647,208.8170474276886,210.0777618137761,8103784,,
ITC,2018-12-10,206.63951110839844,208.0529998619059,205.6462216426996,207.8237917713916,6683094,,
ITC,2018-12-11,209.88674926757807,210.91820894989323,204.92037209388124,205.07316970890545,10238800,,
ITC,2018-12-12,210.91818237304688,212.17889661204268,208.2821965033229,210.6507807511485,10084682,,
ITC,2018-12-13,210.3451995849609,213.4778426666312,208.96990424042488,213.172224069757,15821425,,
ITC,2018-12-14,210.6890106201172,211.8350977132457,209.2754985418184,209.6193339966376,8594764,,
ITC,2018-12-17,213.82164001464844,215.00592061020677,210.8036015305868,211.6440700099508,12232198,,
ITC,2018-12-18,212.522705078125,214.39465630278144,211.64404313648515,213.21035254039973,8832786,,
ITC,2018-12-19,216.57228088378903,216.9925035179461,212.79018390756332,213.1722129630527,13133469,213.5255714416504,
ITC,2018-12-20,215.96099853515625,217.29810009396587,214.7003074431473,214.7003074431473,4964496,213.55995330810543,
ITC,2018-12-21,211.4530487060547,216.99246913286188,210.91819878624185,216.22841114295744,6816618,213.41669158935548,
ITC,2018-12-24,210.88003540039065,214.47111779387257,210.30699182593304,213.05760564677,8540575,213.0480354309082,
ITC,2018-12-26,211.37664794921875,213.01936803950076,209.96313593955267,211.14743986860285,8494118,212.7347717285156,
ITC,2018-12-27,214.50933837890625,215.1969860913904,211.87332827764385,213.17223653682936,11441104,212.67937850952148,
ITC,2018-12-28,215.6553649902344,216.9924664560729,213.28678058730924,213.28678058730924,13194286,212.4769012451172,
ITC,2018-12-31,215.1969451904297,216.87788222786764,214.7767225896708,216.07560728478083,5452405,212.318359375,
ITC,2019-01-01,215.99923706054688,216.64866780039463,213.7834498874083,215.617208005482,2490548,212.30880966186524,
ITC,2019-01-02,214.3946685791016,216.41941751286964,212.0642778070905,215.6553595516592,9934187,212.26105575561525,
ITC,2019-01-03,213.0576019287109,215.80821570154703,212.2171333707329,214.3947035791116,6114946,212.3947654724121,
ITC,2019-01-04,214.66212463378903,216.1902407776361,213.28680611400563,213.28680611400563,7805148,212.6965690612793,
ITC,2019-01-07,215.1969451904297,217.94755883478217,214.70031212120523,217.2216943601609,9757529,212.98691177368164,
ITC,2019-01-08,217.1835174560547,218.1385900921851,214.9677536036728,215.46438671102,7480522,213.51411209106445,
ITC,2019-01-09,221.88243103027344,222.87572038699025,217.45090410707195,218.21496208122383,12182118,214.11389617919923,
ITC,2019-01-10,221.2711944580078,224.4038368222685,220.73634454806125,222.1498564667495,10288580,214.63154678344728,
ITC,2019-01-11,225.6645355224609,226.16116856025127,222.72290755173395,223.02852608905107,16773035,215.39751358032223,
ITC,2019-01-14,224.86227416992188,225.2443031938716,221.5768338908348,225.01509510638223,6400147,216.1061767578125,
ITC,2019-01-15,226.5814208984375,227.2308749487994,224.63308206455463,225.58815469238013,7213165,216.744165802002,
ITC,2019-01-16,224.67124938964844,226.5813944220964,222.87573171290745,226.1611718418379,7784035,217.35159301757807,
ITC,2019-01-17,224.5948486328125,225.8555396143967,221.6914143691048,224.7094526643749,10601100,217.7527214050293,
ITC,2019-01-18,222.68472290039065,225.4735300555928,222.0734624840664,224.0600180320189,10994807,218.08890762329105,
ITC,2019-01-21,221.50042724609372,224.02183283800647,220.58357156310856,223.75440785318523,8203333,218.59127655029295,
ITC,2019-01-22,221.38580322265625,222.34087571283163,217.8711317953709,221.46221368531016,10329563,219.11656494140624,
ITC,2019-01-23,211.8733062744141,224.9387047235819,210.11598193420923,222.72294085026175,40188183,219.141397857666,
ITC,2019-01-24,213.09580993652344,216.49587797609715,212.2935582188372,213.4014285281561,28026449,219.0707214355469,
ITC,2019-01-25,213.32501220703125,215.99921532336552,212.7901622568841,213.93624930674167,8897906,218.9542037963867,
ITC,2019-01-28,209.92495727539065,213.51603957477133,209.50473465868103,213.09579364085965,8992136,218.69060440063475,
ITC,2019-01-29,212.75196838378903,213.17219097460065,209.9249443378908,210.34516692870235,6998389,218.5282409667969,
