Company,Date,Close,High,Low,Open,Volume,20_SMA,50_SMA
NESTLEIND,2018-11-21,466.6069030761719,471.65201969549736,464.0022998339196,469.4188509285352,831240,,
NESTLEIND,2018-11-22,469.5669250488281,476.1957769972666,465.7774201322936,469.73326804754265,1019280,,
NESTLEIND,2018-11-26,476.4031677246094,478.0780582945691,470.5582413623857,470.5582413623857,920280,,
NESTLEIND,2018-11-27,479.372314453125,481.4095432980584,472.6090529372531,476.2550244160362,764320,,
NESTLEIND,2018-11-28,487.5893859863281,489.4260572822223,480.513912184816,482.1796785851815,1779360,,
NESTLEIND,2018-11-29,483.3852233886719,491.1579482769908,473.3838359538218,491.1579482769908,3562520,,
NESTLEIND,2018-11-30,490.6041870117188,496.3261078954841,482.8473739036144,487.6486781012557,1423500,,
NESTLEIND,2018-12-03,489.7290954589844,495.348484082619,485.1420347232415,493.0811569069871,1311220,,
NESTLEIND,2018-12-04,482.5898742675781,491.4359274721647,481.085888893772,488.7971380125815,1032640,,
NESTLEIND,2018-12-05,478.0073852539063,482.589940414304,475.79930699437085,480.812518083392,1715960,,
NESTLEIND,2018-12-06,469.8450317382813,476.1730205339919,466.319811517308,476.1730205339919,871240,,
NESTLEIND,2018-12-07,474.18597412109375,480.3545184267049,470.7861231159033,470.7861231159033,1156040,,
NESTLEIND,2018-12-10,473.9261779785156,475.74916376086776,468.2817537992589,469.4188389556766,1895560,,
NESTLEIND,2018-12-11,484.6658020019531,492.1605832336309,470.4351307838752,472.0165575515801,1095320,,
NESTLEIND,2018-12-12,496.5804443359375,498.88140001726697,484.6384480174875,486.9851824599735,1813140,,
NESTLEIND,2018-12-13,503.5313720703125,512.7717505495399,498.6524406069286,501.399836973909,1522740,,
NESTLEIND,2018-12-14,503.0436401367188,511.695657450892,499.9528194697127,505.2461628790998,1254560,,
NESTLEIND,2018-12-17,511.5011901855469,518.0193821964261,503.91605667497504,503.9183484080789,1971000,,
NESTLEIND,2018-12-18,507.9935302734375,517.4262453366754,504.7699010883642,511.6109461766556,1340380,,
NESTLEIND,2018-12-19,511.6705627441406,514.2210378657956,508.8200941977356,512.8427561688535,2726120,487.03990936279297,
NESTLEIND,2018-12-20,514.3378295898438,523.1501019376301,510.5601592695064,510.5601592695064,1158500,489.42645568847655,
NESTLEIND,2018-12-21,504.1656188964844,518.5138800075002,501.7890917294967,515.8099703907384,1325820,491.15639038085936,
NESTLEIND,2018-12-24,500.179443359375,513.8546022854816,496.15912975011366,506.25348463817375,683820,492.34520416259767,
NESTLEIND,2018-12-26,493.159912109375,503.0940143248943,492.01287195427767,502.086658071536,743440,493.03458404541016,
NESTLEIND,2018-12-27,501.0723876953125,502.269789980468,494.5358635319119,496.7749979797246,1046220,493.7087341308594,
NESTLEIND,2018-12-28,515.530517578125,521.8518422342909,500.5343149682494,503.4145195546702,1132720,495.315998840332,
NESTLEIND,2018-12-31,507.5745544433594,520.0821042585795,504.8340335402225,517.4262656693437,928600,496.1645172119141,
NESTLEIND,2019-01-01,504.37841796875,511.4918999120071,503.22908614632513,510.55776736573904,634180,496.89698333740233,
NESTLEIND,2019-01-02,505.3103332519531,511.0157420189819,499.433156310096,502.7964699604692,563340,498.0330062866211,
NESTLEIND,2019-01-03,513.1747436523438,526.538565336802,503.68478915197727,508.7720451079074,3385820,499.79137420654297,
NESTLEIND,2019-01-04,496.8758239746094,512.7969959942416,487.9170485156837,510.0541828982728,4123260,501.1429138183594,
NESTLEIND,2019-01-07,493.8948059082031,500.92584140883,489.9522992544228,497.9655377936306,1719180,502.1283554077148,
NESTLEIND,2019-01-08,503.9366455078125,514.6789480129163,489.4944799161988,494.5313735355424,2686820,503.6288787841797,
NESTLEIND,2019-01-09,515.2398681640625,517.3530695340371,506.3634833586162,508.2614854143443,1969660,505.1575820922852,
NESTLEIND,2019-01-10,522.765380859375,524.194024577194,510.0815354896897,518.3420575443153,1538300,506.46682891845705,
NESTLEIND,2019-01-11,516.1898803710938,524.6610170456573,510.603475621134,522.012054061703,1145060,507.0997543334961,
NESTLEIND,2019-01-14,514.1591186523438,521.3504073947832,512.3870505088471,517.426234792374,1036220,507.6555282592773,
NESTLEIND,2019-01-15,516.6318969726562,519.2579434447356,512.8473515503562,517.2431748130313,989400,507.9120635986328,
NESTLEIND,2019-01-16,506.2488708496094,517.0484638368163,502.773430817491,515.642681685735,2733580,507.82483062744143,
NESTLEIND,2019-01-17,511.2765808105469,514.35599822343,509.2755631679889,512.8471999546077,1454740,507.80513153076174,
NESTLEIND,2019-01-18,515.0634765625,518.6374054957423,511.9772394909155,512.8472594137469,1535240,507.8414138793945,
NESTLEIND,2019-01-21,515.3771362304688,517.8360533091969,510.5623182394122,517.243053575428,382160,508.40198974609376,
NESTLEIND,2019-01-22,514.5209350585938,519.7157900471723,512.8472994298088,516.9683938002269,799160,509.1190643310547,
NESTLEIND,2019-01-23,518.154296875,519.6241917610135,514.6788565461541,515.3657055540003,1024200,510.368783569336,
NESTLEIND,2019-01-24,523.53466796875,524.752695985508,517.7033259996676,518.1543501870486,2092360,511.4918975830078,
NESTLEIND,2019-01-25,520.43017578125,527.362723600581,517.4263288474551,524.7527193444101,1198560,511.7368804931641,
NESTLEIND,2019-01-28,520.2011108398438,522.921005879266,510.7866743067611,520.4300604921551,2079260,512.3682083129883,
NESTLEIND,2019-01-29,521.9640502929688,523.8368429354745,517.1469403114395,521.0894469060926,1412640,513.2474899291992,
