Company,Date,Close,High,Low,Open,Volume,20_SMA,50_SMA
EICHERMOT,2018-11-21,2273.958740234375,2375.7106208999926,2249.8918687679407,2323.501236502748,1178150,,
EICHERMOT,2018-11-22,2263.878662109375,2298.7068521587507,2248.004567260152,2293.0773405385503,679060,,
EICHERMOT,2018-11-26,2239.393798828125,2299.462630154013,2218.5756563743807,2268.6628567778266,765770,,
EICHERMOT,2018-11-27,2235.567138671875,2257.371293997712,2214.19993761006,2255.324073862503,513890,,
EICHERMOT,2018-11-28,2170.19287109375,2258.333603587168,2163.492982397021,2232.980170199703,814340,,
EICHERMOT,2018-11-29,2208.687744140625,2215.706980918431,2155.2344381095218,2187.9074286893406,924630,,
EICHERMOT,2018-11-30,2197.795166015625,2229.219419272653,2188.8463159438525,2206.687620106415,864900,,
EICHERMOT,2018-12-03,2213.007080078125,2244.060402276457,2155.323393454688,2189.7852335700018,927780,,
EICHERMOT,2018-12-04,2197.428955078125,2229.102177885447,2187.907433042959,2207.157262389474,530750,,
EICHERMOT,2018-12-05,2140.341796875,2186.029656400781,2130.1581939627026,2186.029656400781,885510,,
EICHERMOT,2018-12-06,2085.681640625,2138.1397685520483,2075.225686649112,2138.1397685520483,1152120,,
EICHERMOT,2018-12-07,2100.508544921875,2111.485587637869,2062.398614824217,2103.395973454684,962340,,
EICHERMOT,2018-12-10,2103.851318359375,2122.157315674444,2053.1584398193445,2075.0563566586834,505070,,
EICHERMOT,2018-12-11,2125.98876953125,2137.7686527192704,2047.0550239982572,2066.8683546927896,611520,,
EICHERMOT,2018-12-12,2227.53369140625,2239.553141959821,2125.9886028550814,2125.9886028550814,668060,,
EICHERMOT,2018-12-13,2188.41455078125,2265.371686240425,2178.517284712628,2234.8582489724377,1087130,,
EICHERMOT,2018-12-14,2226.984619140625,2234.8582781688747,2173.8880280730805,2192.602554421984,767570,,
EICHERMOT,2018-12-17,2225.261474609375,2249.0374251018397,2211.3827899292223,2249.0374251018397,442650,,
EICHERMOT,2018-12-18,2241.022705078125,2244.2482801162514,2192.034312843076,2213.260751562345,614160,,
EICHERMOT,2018-12-19,2249.478515625,2274.296643126376,2235.613816667628,2241.0225577387823,490790,2195.748889160156,
EICHERMOT,2018-12-20,2262.27734375,2270.352973202137,2225.4773610407506,2234.85812188649,501230,2195.1648193359374,
EICHERMOT,2018-12-21,2215.8525390625,2271.4798410896733,2198.339981306353,2267.348262141103,579890,2192.7635131835937,
EICHERMOT,2018-12-24,2179.52197265625,2213.730261994637,2170.929838542085,2204.805024786262,346870,2189.769921875,
EICHERMOT,2018-12-26,2167.37548828125,2201.9923005004907,2131.566107520731,2169.126743776603,550490,2186.360339355469,
